City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,Oskarshamn,57.2645,16.4484,47.98,87,54,11.43,SE,1698699511
314,Trinity Beach,-16.7888,145.6968,69.69,73,62,8.05,AU,1698699511
315,Sirsilla,18.3833,78.8333,69.13,70,3,1.1,IN,1698699511
316,Laguna,38.421,-121.4238,70.92,30,0,1.99,US,1698699511
317,Chilliwack,49.1747,-121.9443,53.35,43,57,11.5,CA,1698699511
318,Atherton,53.5237,-2.4935,47.17,94,100,1.01,GB,1698699511
319,Sidrolândia,-20.9319,-54.9614,94.21,34,72,7.52,BR,1698699512
320,Mount Gambier,-37.8333,140.7667,51.64,56,79,9.93,AU,1698699512
321,Beloretsk,53.9631,58.3981,25.52,91,94,11.01,RU,1698699512
322,Kourou,5.1552,-52.6478,87.85,78,69,10.02,GF,1698699512
323,Parauapebas,-6.0675,-49.9022,89.58,61,72,2.3,BR,1698699426
324,Diu,20.7141,70.9822,76.68,54,5,6.15,IN,1698699512
325,Carqueiranne,43.0953,6.073,61.5,85,0,3.44,FR,1698699513
326,Selfoss,63.9331,-20.9971,33.04,79,22,7.92,IS,1698699513
327,Hilo,19.7297,-155.09,78.51,87,100,8.05,US,1698699513
328,Harran,36.86,39.0314,73.76,32,98,4.65,TR,1698699513
329,Show Low,34.2542,-110.0298,49.39,33,0,11.5,US,1698699513
330,Happy Valley-Goose Bay,53.3168,-60.3315,34.11,37,40,17.27,CA,1698699513
331,Bowling Green,36.9903,-86.4436,43.93,85,100,3.44,US,1698699513
332,Newman,37.3138,-121.0208,68.67,36,7,3.0,US,1698699400
333,Argos,37.6333,22.7333,67.06,73,1,2.1,GR,1698699514
334,El Matama,16.7095,33.3565,91.63,26,48,8.77,SD,1698699514
335,Banjar,-8.19,114.9675,74.66,85,37,3.56,ID,1698699514
336,Uturoa,-16.7333,-151.4333,79.0,80,16,17.78,PF,1698699514
337,Morondava,-20.2833,44.2833,76.78,67,49,7.67,MG,1698699514
338,Daru,-9.0763,143.2092,78.4,83,100,13.89,PG,1698699515
339,New Plymouth,-39.0667,174.0833,62.31,69,100,5.37,NZ,1698699515
340,Shanhecun,44.7,127.2,42.8,61,100,6.44,CN,1698699515
341,Ar Rahad,12.7167,30.65,86.49,43,97,6.13,SD,1698699515
342,Naryan-Mar,67.6713,53.087,20.1,95,99,10.0,RU,1698699515
343,Vadsø,70.0744,29.7487,28.56,86,75,11.5,NO,1698699515
344,Kingscliff,-28.2667,153.5667,69.69,64,1,11.5,AU,1698699515
345,Ola,59.5833,151.2833,25.74,67,8,6.11,RU,1698699516
346,At-Bashi,41.1702,75.8106,44.65,49,98,2.42,KG,1698699516
347,Katsuura,35.1333,140.3,62.13,71,0,5.17,JP,1698699516
348,Barkhan,29.8977,69.5256,66.25,40,2,2.73,PK,1698699516
349,Tsengel,49.4783,100.8894,27.93,79,97,1.68,MN,1698699516
350,Goiatuba,-18.0125,-49.3547,89.42,35,78,5.46,BR,1698699490
351,Awjilah,29.1081,21.2869,73.29,49,89,7.34,LY,1698699516
352,Inhambane,-23.865,35.3833,67.24,70,65,10.4,MZ,1698699517
353,Hailey,43.5196,-114.3153,41.41,50,0,11.5,US,1698699517
